gene,len
SNORA17B,129
MOXD1,105420
SNORA17A,132
EVA1A-AS,18638
ANKRD11P1,6847
ZNF863P,5842
LCN10,5189
ERHP1,309
PDLIM5,216370
MTCYBP7,1133
PKDCC,10496
RPL31P36,366
BMT2,120728
HIRIP3,3744
CEP20,22906
PPP1R2P6,587
TRBV7-2,539
HEATR9,13945
ACTG1P24,876
COL26A1,196149
ASCC3,373178
REG1B,2996
COPS3,34657
LCN6,4508
MRPL50P1,383
ANAPC1P3,2446
TCF7L1,176995
LNP1,54787
INO80E,10078
FEZF2,4643
METTL5P4,489
RPL15P20,597
ZNF619P1,751
RPL21P76,431
CCZ1P1,3249
PDXDC1,179080
MIR6722,77
LCN15,6621
TRBV9,521
SKP1P1,488
GUCA1C,46087
PAICSP6,1617
CRLF3P3,1218
TRBV8-1,278
RPS2P17,792
RCC2P3,2393
CLNS1A,122858
EEF1B2P6,672
RPL17P27,542
CHMP4AP1,579
NDUFB4P7,362
DHFRP3,558
CCDC12P1,480
ATP6V0A4,93266
ATP6V1G1P3,279
RBX1P1,325
FTMT,951
TMEM141,1973
ARMC10P1,854
H3P12,406
NSG2,197795
ALCAM,209991
GALNT14,244735
CCDC183,11403
IGLVI-70,517
IGLV4-69,538
IGLVI-68,449
IGLV10-54,476
IGLV10-67,324
IGLVIV-66-1,459
IGLVV-66,461
IGLVIV-65,482
IGLVIV-64,300
IGLVI-63,493
IGLV1-62,549
HSBP1P1,165
IGLV8-61,512
CCDC183-AS1,4921
HNRNPCP1,765
RPL9P5,470
ABHD17AP5,3161
IGLV4-60,482
SOCS2P2,573
IGLVIV-59,249
IGLVV-58,303
BMP6P1,678
RABL6,33244
IGLV6-57,477
IGLVI-56,451
HNF1B,58628
IGLV11-55,498
IGLVIV-53,486
TOP3BP1,1379
BMS1P20,7177
LINC02524,5894
IGLV5-52,499
ZFYVE21,17938
IGLV1-51,497
PPP1R14C,107348
IGLV1-50,514
CCDC137P1,837
ASH2LP3,1641
IGLV9-49,545
BRD7P7,1618
TUBB4BP7,1233
RAP1BP2,543
NR3C1,157581
IGLV5-48,493
RPL14P2,609
IGLV1-47,521
ASH2LP2,1560
IGLV7-46,473
STX3,92426
IGLV5-45,519
DOC2A,17756
EYS,1987246
IGLV1-44,580
IGLV7-43,471
IGLVI-42,492
EIF4E3,79359
IGLVVII-41-1,150
IGLV1-41,514
IGLV1-40,516
ASH2LP1,984
IGLVI-38,493
IGLV5-37,495
IGLV1-36,507
ASH2LP4,1650
IGLV7-35,450
NT5M,44328
CCDC157,22038
MTND4P3,540
TRBV5-2,272
NCAPG2,73635
RPL13P12,635
TSEN15P1,832
MED9,16227
NCLP1,2748
MIR4292,66
CIMAP1B,2796
RASD1,1958
PHPT1,2303
RPL27,4686
UBE2N,36274
SHISA8,5531
JOSD1,16013
DAAM1,182759
SSX2IPP1,1852
ZNF90P1,1950
MXI1,79760
ALG10,7226
COX6CP6,227
ST13P14,945
MAMDC4,9856
RPS10P10,511
TMEM158,1821
PIGW,4323
TAFA4,221531
B4GALNT2,44380
HMGN2P9,228
CCL5,9302
CNOT11,17430
SULT4A1,38004
JHY,81179
SCAF11,72989
TMEM39A,39881
TACR1,153057
SRCIN1,75921
FDX1,34936
TMEM132E,59831
RPSAP42,877
PPM1B,76415
RFPL4B,3964
CCDC198,24567
EDF1,4189
IFI35,7716
KRT8P35,1337
TRIM29,74243
HESX1,29768
PNPLA5,12335
PPP4C,9398
EFHC1,167763
MIR4479,70
UBE2Q2P9,201
PLXNC1,159098
ENTR1,8692
GAPDHP50,992
MYH9,106730
DUSP14,23610
TIMMDC1,26543
NXPH3,7956
CYB5D2,44142
GPR179,19385
MTND6P17,518
LRAT,126175
RNU6-346P,110
ZNF236,150344
CISD3,5264
LHX1,7827
ING2,7371
TASL,18957
GPHN,674396
CKS1BP6,239
FTLP2,527
GK-IT1,531
GK-AS1,24176
IP6K1,62248
TAB3-AS1,677
TAB3-AS2,386
FSTL5,780107
ABCD1P5,3201
PCYT1B,114590
MRPS9,61891
INPP5E,11226
CIB4,60161
ABCC6,73957
C9orf163,2572
DZIP3,105135
FSD1L,104637
EFCAB10,35755
SYNRG,94665
C12orf75-AS1,22150
MYF6,1840
H2BP7,344
PCYT1B-AS1,8164
CTBP2P5,1263
POLA1,303113
ATP1B3P1,820
LDHAP3,1007
GGT8P,5225
MTFR2P1,1124
LINC01867,19454
YPEL3,4601
CLEC2L,21300
PNPP1,863
METAP2,42319
PSAT1P2,971
SLC9A2,91802
TRBV6-4,455
TRBV4-1,482
MPRIP,175222
TRMT112P8,1725
RASD2,13168
SSBP1,8205
BTNL8,51829
RPS4XP12,708
MB,31187
PKNOX2-DT,6148
HECTD2,105549
RPL26P35,459
RPL31,21803
ARHGAP10,340713
ANKRD20A5P,42660
RALGAPA1P1,6231
TAL2,667
ARHGEF12,153524
RNU6-316P,106
RHOT1P1,323
CYP4F35P,117301
GDPD3,8727
TERF1P2,1211
CDK20,8312
FEM1AP2,1996
TUBB8B,26324
SYT4,9643
DPPA2,22729
PTGR3,14026
APOL6,19958
RN7SL39P,296
DLGAP1-AS3,19011
MAPK3,9401
MIR6718,79
RNU6-831P,106
GAPDHP66,966
RABGGTBP1,1052
METTL17,7062
LCORLP1,182
MRPS16P3,373
ELOCP27,228
HMGB1P36,719
APOL5,11611
DLGAP1,959275
NDUFA9P1,1134
APOL2,13745
ADK,558761
KIR2DL5A,9464
PLA1A,31936
SCARNA23,129
EEF1B2P3,677
ARX,12726
HIPK2,216428
PAFAH1B2P1,690
RN7SL91P,290
LIFR,133686
NTAN1,18225
MIR6819,60
RPS15AP38,371
SEC14L6,23942
AGTPBP1,195490
MON2,133659
NFYBP1,964
IFIT6P,1193
GPR27,2641
IFIT1B,7149
UQCRFS1P2,1455
ZFX-AS1,3429
IFIT1,13941
KIAA1671,244732
TAS2R3,1100
RPS26P58,347
TEX55,13891
LINC01179,78139
EFCAB10-AS1,2577
EEF1A1P10,1389
SLC16A12,126342
PSMC1P3,1317
MTND2P33,1030
WBP1P2,426
FABP5P12,388
TSPAN12,71082
RNF149,37482
ENPP6,132524
RPL15P14,635
ARHGEF9,174307
ANAPC16,19860
CDCP1,64145
RPA3P2,358
TAAR6,1037
PLN,13420
MAN1A1,172556
FTH1P26,700
DDIT4,2117
STMN3P1,245
RWDD4,19568
CRYBB3,7501
RNU6-805P,105
NPIPA3,22931
SNX19P4,567
RNA5SP305,118
CD80,35321
GOPC,42273
RN7SKP241,290
PRPF38AP2,850
HACD1,28342
TRBV3-1,506
GCFC2,58985
TRBV7-3,506
RABGEF1P2,25685
CRYBB2,19306
BMERB1,190553
UBL5P3,230
TRBV5-1,867
RPS26P21,347
BRI3,58062
STAM-DT,2594
C3orf85,33149
STAM,72673
RASA1,124048
PRMT5P1,597
RPL21P48,473
CFAP44,154680
TMEM184C,54658
CSF2RB,26811
YBX1P2,998
AKR1B15,30765
NPIPA6,33164
IZUMO3,2994
CDK19,205980
GSC,1890
MTCO2P9,693
TRBV8-2,269
RBBP4P5,1265
KIAA1958,182570
OR10G1P,943
UBE2NP1,457
TRAV1-1,729
IL15,97404
BFAR,36305
OR10G2,1104
TRAV1-2,689
ARL6IP1P1,609
SLC37A3,110740
TRAV2,522
TRAV3,608
TRAV4,830
TMEM236,48667
TRAV5,527
RPL4P1,1277
BCL2L2,12961
TBRG1,13090
GTPBP4,31498
BOLA2B,1374
ZFP37,18382
OR7E66P,954
ACOX2,32147
SLX1A-SULT1A3,10418
HMGN2P2,272
GRK3,164619
MSANTD3,24591
NDE1,91424
TSHR,191317
LMBRD1,194479
DCC,1195702
OLFM1,45758
CD2BP2,4535
DMC1,51256
CAPZBP1,200
RPL21P36,442
IDI2,6949
FBLP1,915
RPL17P40,1017
DNAH6,303134
MARF1,48767
TBC1D10B,13392
ASS1P8,646
RNA5SP310,115
ANXA8L1,16157
MYL12BP2,511
CWC25,24914
NPY5R,8042
PPIAP15,483
NDUFB2P1,294
VN1R76P,455
MIR4528,89
RPL29P32,471
SNRPGP2,225
SPMIP2,145626
CUPIN1P,11869
DYNAPP1,129
IGSF11,245511
MAPRE2,166542
WWC2-AS1,7006
MTND1P22,950
TLL1,231220
GPR139,45651
ZCCHC7,237575
SULT1A4,5053
C17orf78,16723
SELENOO,16605
CCL14,3716
GPRASP3P1,1650
RPL17P3,620
NMNAT1P1,875
HNRNPA1P33,560
NPY4R,4859
GTF2A1,45925
LAPTM4A,18978
BUB3P1,998
RPL7P32,743
MMP28,39458
STOX1,67901
TRPC6P8,459
TAS2R6P,825
CMTM7,91369
SCUBE1,146092
CPED1,308745
LINC02697,860
RPS29P12,151
RPS27P20,245
MRPL22,28338
RPL37P12,310
SIAE,62594
KRCC1,37047
ZNF397,26103
GGCTP3,338
SNORA79,139
DYNLL1P1,268
RNU6-697P,106
FAM110C,8056
UNGP3,674
DYNLL1P2,269
GLG1,159717
DDX50,45561
RTL1,23969
ABCC1,194119
RPL22P11,384
EIF2S1,26188
PRKACG,1609
OTX1,7779
MORC1,159886
SCARF2,13242
ZNG1C,68032
ZSCAN30,39187
UBXN2A,77624
TMEM232,449723
PLEK2,25183
PHB1P16,949
MARCKS,6130
CRTAM,34143
SMPDL3A,20671
ZNF24,13255
MAP9,34312
TCF7L1-IT1,844
NKAIN1P2,582
DBF4P3,593
OR11H1,947
MIR5694,75
BATF,24538
ALK,728812
SLC2A11,29606
TAF15,55133
LUC7L2,83098
ARHGEF9-IT1,1306
BTF3P8,525
MIR1468,85
ZCCHC18,3711
NDUFS5P1,288
FLVCR2,84594
PPP1R14BP5,434
BARX2,76431
ZNF396,10643
TRAPPC3L,50695
PAGE5,3762
SLC18B1,43969
CDH23-AS1,3720
C10orf105,26123
RPL7AP67,671
VSIR,25964
INO80C,45749
RPL23AP62,452
MIR7152,53
TAF7L,24804
FEZ1,149687
RPL7P29,727
LINC00242,10035
CDH23,419027
ALDH7A1,64162
TNFRSF21,78373
ZFAND2AP1,227
MAGI1-IT1,81743
ADIG,7268
IFT57,61623
SUMO1P1,305
MIR4756,77
CYP24A1,20540
MRO,30282
TMEM88,1033
ALDH8A1,32722
PRSS58,5915
CYB5D1,4536
ZFX,67082
RPL10P7,624
DUX4L26,1254
SNX4,73552
SCARNA21,138
NDUFB9P2,506
PTMAP10,328
TRAPPC1,1778
MYO1G,16426
RNA5SP387,105
TTLL5,321454
AADAT,31477
BCAS1,133817
CNTROB,17819
RNGTT,353721
C16orf95,233858
NPIPA1,29258
SLC17A6,41122
ILRUNP1,867
DUXAP1,462
B4GALT4,29214
NOMO3,68300
MRTFB,195454
TGFA,106909
CCL15-CCL14,17965
HNRNPA3P16,1338
RPL17P46,543
SSX1,12052
ME2,75177
DHRS11,8925
TENM4,788201
ZNF81,165659
AKR1D1,115981
MID2,105882
MTCYBP36,439
RPL32P16,404
BTF3P10,494
MEMO1P2,885
SRSF7,7895
MTCO3P31,788
ATP5MGP2,310
C11orf98P2,246
RPL13AP15,581
TAAR2,7253
ARHGAP23,93105
TRPC6P5,384
LINC01395,5153
NDUFAF4,8576
ADAT2,27863
UBASH3B,158751
ING3,26453
POPDC3,22114
TAF9P3,126
WTIP,30546
MTATP6P25,260
RPL12P23,489
MTHFD2P4,1719
DSE,190688
ADAM29,148512
TEX11,379771
EIF3CL,24262
ERG28,11085
GUCY2D,17727
ZNF565,63981
TMEM225,2750
FASTKD5,13346
DYNLL1P4,265
TP53RK,5079
DAZAP2,32638
GPATCH2L,102426
PRPF6,51968
ALOX15B,10100
SPAG4,5265
STT3A,33503
ZNF469,57798
TMEM143,31703
PHB1P1,807
PDSS2,307002
RNU7-38P,59
PPIF,7865
EIF3C,47169
TMEM242,34576
SS18L2P2,611
ASB5,63898
RSL24D1P9,471
LDHAP7,964
RIOK3,33316
SMKR1,10387
CIMIP2C,16947
RPL7P43,752
ZCCHC24,63299
TRBV5-3,466
ACTG1P9,2657
ZP3P2,2661
CSRP2,20314
TAS2R5,1150
TPRX1P1,318
MTCYBP39,490
RPS12P18,269
TRBV6-1,489
SFTPA2,4555
TRBV2,508
ZNF334,13929
ATG5,280368
WNT16,15737
RPS4XP23,236
PPP1R21,74793
ZNF737,29984
RPSAP29,868
CCDC137P2,178
COPS8P2,626
IFT43,182449
HSPBAP1,53832
TMEM229A,2146
NDUFB5P1,563
HMGN1P18,276
SPATA4,11006
MTCO1P55,744
BPGM,33005
RPS26P55,657
GSS,27595
RAB4B-EGLN2,30176
UPK1B,31626
ALOXE3P1,8597
LINC02504,8792
MTCO1P9,1533
LINC02477,47563
SNX6P1,1223
ALOX12B,15080
AGK,21343
NAF1,56817
MBL3P,2579
URI1,92968
SFTPA3P,366
TTC28,701826
SFTPA1,4516
GLULP5,1389
PLEKHH1,56322
SOCS2,13673
GPR174,30630
PSMB3,11484
SEPTIN6,77646
RMC1,28326
MIR4314,91
HES7,3514
CLDN24,662
MARK2P4,2379
SPCS3-AS1,12190
TBC1D3F,10948
GSTT4,6752
ARFIP1,138526
MIR6883,77
BPIFC,50639
TMEM107,3942
EEA1,158694
TBC1D3JP,7389
C5orf47,32361
RPL29P33,315
HSPA8P9,1942
KCTD17,11651
ZNF428,12405
TRAT1,32235
SNORD118,133
MIR4521,59
LINC02679,3431
BORCS6,1835
BEND3P3,2439
PIGH,18331
NKX2-5,3202
WAPL,86536
RHPN2,86296
SC5D,20729
AURKB,5867
TIMMDC1-DT,503
MAGI1-AS1,31481
ADRA1B,107932
RFKP2,718
NPM1P17,769
RPL27P9,366
BFSP2,75166
RPL7P21,634
RPL6P32,1140
PTGER4,13820
NPC1,80322
ARG2,31788
7SK,249
ARHGEF37,83021
ANAPC1P5,12144
RSL24D1P2,365
YWHAEP7,76380
RPLP0P8,650
ADM2,4897
HMGB1P24,684
MRAS,57886
NLN,149520
RIC8B,114695
SPATA19,4907
HYMAI,3346
MTHFD2P2,246
MYH11,155303
EGLN2,9438
PERP,18914
MIOX,3864
VTI1B,27735
RNU6-780P,103
TSGA10,157703
WAPL-DT,3156
UST,329960
CYP2C58P,7277
RPL7AP52,789
CYP2C9,51433
ULBP3,8068
MTND4LP19,165
TINAG-AS1,4636
ATF1P1,1330
RPL21P69,465
COX7A2P1,314
RNA5SP386,106
AKAP12,118592
KIRREL3,580102
RDH11,18993
RPL35AP12,337
NUDT19P3,862
RAET1L,7198
TENM3,659037
MTND4P20,868
CYP2C59P,430
CYP2C60P,138
CYP2C8,32725
CADM4,17482
ANKRD29,63985
TTK,38640
ARL2BPP6,521
STOX2,225834
TMEM69P2,719
FAM3D,32888
DRD1,4146
CYCSP30,171
SIPA1L3,301161
ARPP19P1,338
E2F7,44321
INSIG1,12459
SIL1,346833
SPCS3,12279
RPS10P27,495
KIAA0895LP1,2317
ADGRA3P1,1449
SBF1,40704
RDH12,32565
CHORDC1P4,984
BMPR1AP2,1011
SPATA31A5,6246
CBX3P2,534
TRIML1,8302
CXADRP3,1099
PFAS,22873
RPLP0P12,1236
ELOA3CP,1217
RPL6P27,866
LRRC37A7P,1536
OACYLP,72604
MIR499A,121
MIR499B,72
TRPC4AP,90403
PTBP3,115948
ZNF271P,60798
IMPDH1P3,1548
RPL7P59,942
POLR2DP2,714
RN7SL369P,298
RPL21P9,659
DSC2,44055
PAWRP1,564
EDNRA,64037
RPS3AP36,774
ACTR3B,95629
ALDH18A1,50770
RN7SL213P,316
FHL1,64657
IGBP1P1,1008
RNF7,9311
RNU7-93P,60
SFTA3,40585
EI24,15404
PHKBP2,1032
RPL29P3,462
NKX2-8,2610
RN7SKP257,308
PAX9,21794
HSPE1P4,307
TMTC3,57591
PIGQ,17114
SF3B4P1,1265
ZNF507,42073
PALS1,95348
PDIA5,158202
ENTPD1,165487
ATP6V1D,65894
EEF1GP2,1242
RNU6-407P,103
HMGB1P1,7407
MTND2P5,1005
CENPNP1,1375
CNOT6,83979
MTND1P29,1832
NPAS2-AS1,6999
SLC25A35,7637
CTCFL,29686
ST6GAL2-IT1,2108
AKR1B1,16928
MFSD9,22258
FKTN,95698
SPOCK3,501412
MON2-AS1,2583
WSCD2,121249
PLAUR,24452
SLC35A5,23870
LOXL4,20504
RANGRF,1438
TUBB8P2,494
HMGB3P19,559
HSPD1P10,1675
MTCO1P56,223
RPS12,2995
MIR1287,89
MIR4685,68
LINC02620,5335
GJB7,46298
NEURL1B,50277
SLC5A7,27471
SORCS3,623952
ARHGEF15,12273
ILDR1,34924
CNKSR3,123170
MCMBP,63152
ZFYVE16,75366
SRP54,47729
RPL13AP21,647
IL1B,7065
ODF4,6208
ATP2A1,26061
CFAP54,385984
TMEM108-AS1,11604
MIR4682,79
NACAP2,623
EI24P4,1077
RPL26,5697
CH25H,1688
TMEM213,40149
DIMT1P1,762
LIPA,200988
ESYT3,47100
TRBV1,283
TRIM24,129737
FBXO10,65488
DPY19L3,80352
CRIM1,697
FOXO3,124939
RPS27P23,250
RNU7-43P,63
PPIAP52,491
CDC40,74134
NUP37,47017
CCDC42,15284
TOMM5,9958
DNAJB6P1,741
PPP1R10P1,1794
MFSD6L,2255
PIK3R6,64955
TCTN3,34320
TRBV7-1,521
RAB1C,605
FRMPD1,95950
FAM118B,51260
KDM7A,92237
IFITM3P5,394
SUCLG1,36517
KIR2DL2,14533
LTA4H,42767
STAG1,416167
MACC1,82749
NTN1,222490
DYNLT1,8269
NLRP4,45315
STX8,326120
AKR1B10,13845
RN7SKP171,302
TRMT10B,25169
RPS12P4,398
PPIAP63,263
OPRM1,236371
EML4,163195
BTNL3,17881
IGHVII-43-1,209
LINC00221,38638
RPL21P73,777
EIF4EP4,577
DPY19L4P2,1620
FMC1,6871
CHCHD3,297220
IFIT3,50166
SOX30,45801
CFAP52,66820
IRGC,3945
PRDM16,369453
OGDHL,27738
NEK9,47991
SMG9,26979
PANX3,8928
MT1H,1315
ELOCP22,333
NDUFB10P2,791
ZNHIT1,6025
SFXN1,52680
MT3,2014
PDIA2,4051
ABCB7,105684
DENND2A,155573
EXOSC3,72883
NTN4,133382
RPL19P18,580
USP43,84989
MAPK6P6,1458
RPL21P89,466
SGMS1,319577
DSG2,53727
DCAF10,67112
TNFRSF12A,3938
RPL36AP20,299
LINC01593,3555
MTND4P26,1358
MTND2P21,1041
RPL22P8,338
CYP2A6,6906
SMC3P1,734
RPL12P21,839
SH3RF3,375429
C5orf52,8625
KIF4B,4386
KNOP1P3,425
TMEM182,282995
CHSY3,282169
RN7SL274P,271
NPIPA7,14832
PAICSP1,1377
SLC25A51,24953
HCFC1R1,1661
BLOC1S3,38149
PKD1P3,24157
MCTP1-AS1,1742
C5orf46,25812
SHB,153329
ABCC6P2,15121
RNU7-107P,60
SHQ1P1,1543
PKD1P1,23849
RPS26P38,347
SOWAHA,3484
RNU7-124P,61
PAPSS2,88092
CYP2A7P2,2205
AIF1L,26676
PKD1P6,29322
GLP2R,69893
COX7A1,1527
PEX10,9833
GALM,75156
PCK1,7041
SVOPL,107077
ADGRD1-AS1,3838
SEPTIN8,56422
VESTAR,2517
RPS26P49,333
RPS2P4,855
MTND5P9,1754
CYP2B6,27116
MFAP3L,46434
ZBP1,16730
GM2AP1,520
GINS3,111067
HMGN2P25,267
MARK3,118454
PKNOX2,268702
LYPD1,28293
HACD2,94233
BBLNP2,244
MIRLET7A3,73
MIR4763,91
MIRLET7B,82
CDPF1,6300
ATAD1,89849
BBIP1P1,278
AMANZI,3867
RAP1B,61046
NPM1P45,558
PROK2,13551
RCVRN,8951
ACTR3BP2,1372
MTND5P28,2098
RNU6-881P,101
DPP10-AS2,1758
IGKV1OR2-1,477
LMF1,127684
KLHL2,115595
RPL21P21,336
EEF1DP6,371
DDX18,17686
PEX14,158470
LAMC3,85299
RPS27AP1,470
MYH13,72265
SNRPGP3,226
SERHL2,20765
CABLES2,18651
APPL1,50379
MKLN1,386536
LINC01646,22535
ARID5B,195260
LINC02782,4440
GPI,22059
HSPD1P19,324
SMAD4,56517
CIMIP1,10248
PLCH2,38071
SMYD1,45559
ANKRD60,12527
RPL26P6,437
MSS51,9982
CD40,11592
PPP3CB,59591
MYH8,31628
NYNRIN,20280
SNORD62A,85
SNTB2,121905
SNORD62B,85
UCK1,7463
CBLN3,4409
TSPAN18-AS1,17300
NT5C1B-RDH14,34019
PKNOX2-AS1,8172
ANGPTL5,25848
KHNYN,12557
ROCK1,167201
ROGDI,5912
CEP126,86052
RPS3AP28,780
SLC25A4,7116
MIR6812,63
COPG2,162510
MATN4,15084
NXPH2,111233
EIF2S2P7,986
RDH14,5956
TOMM22P4,359
AKIRIN2P1,351
LINC02514,1273
CMA1,2912
LINC02430,6382
BTF3P5,466
PHB1P14,366
LINC02898,21438
RPL6P11,1203
MTCO1P43,487
SOX14,2019
DNAJB14,50370
NCKAP5-IT1,2231
SRSF3P5,485
ATP1B3-AS1,769
CRYGGP,144
MYH4,26269
SPSB1,76638
EN1,5477
SDHBP1,276
MIR6744,65
MIR4299,71
MIR8070,87
RNA5SP332,114
MIR302E,71
MIR4486,62
MIR4694,79
NECTIN3,205492
RNU6-783P,104
GZMH,3219
RNA5SP338,84
RN7SL240P,285
MIR8054,85
RNU6-99P,106
MIR3973,106
KRT18P33,1042
RNU6-365P,105
RN7SKP158,325
MIR8068,67
MIR3162,81
GACAT1,68017
RN7SKP192,326
MIR6860,65
RNU6-544P,106
FAM74A3,9555
MIR708,87
RNU7-59P,60
PABPC1P6,2226
SEC31B,33218
MIR5579,57
MIR4300,95
RNU6-16P,106
MIR2278,95
RN7SL223P,293
NDUFAF2P1,509
RN7SL222P,298
SNORD6,72
MIR6081,96
MIR23B,96
MIR27B,96
SNORA25,133
MIR3074,80
MIR24-1,67
RN7SKP53,314
SNORA32,120
SNORA1,129
RNA5SP288,92
SNORA8,138
SNORD5,72
RNA5SP296,110
SNORA18,131
MIR1304,90
SNORA40,125
RN7SKP115,316
MIR4693,74
AK1,11189
RPL26P20,431
MIR4490,83
CTSG,2732
MIR1261,81
RNA5SP349,108
SSR1P1,813
MAP3K20,192580
CYP51A1P3,2070
SNRPEP6,276
MIR4493,72
RNU4-23P,139
RNU6-321P,105
SLC2A5,53372
MIR8052,68
RN7SL167P,301
RNU6-1156P,99
RNA5SP352,133
MIR4697,77
DLGAP1-AS1,4631
RN7SKP121,304
RN7SKP279,297
MIR326,94
FXNP1,336
MYH1,26235
NRXN3,1697918
DLGAP1-AS2,15989
ADA,67356
RPS3,22765
RLIG1P2,1254
RN7SL712P,307
PRICKLE2,353240
AKR1B1P8,935
API5P1,1509
AGTR2,4230
RN7SL401P,297
LAMA4,147008
ZDHHC9,40621
SMIM21,18227
ICE2P1,2195
RN7SKP80,282
RNU6-513P,103
RNU12,149
ATP5MGL,798
CCND3P2,536
SEC11C,19357
A4GALT,29177
RNA5SP388,118
RPS26P48,338
VIPR2,116692
RXFP1,338061
KDM8,18260
RNU6-921P,106
MAGOH3P,763
BLZF2P,2094
CPEB4,73631
HMGN1P3,299
BANF1P1,262
RPS29P1,158
DCAF5,102269
PSMC1P1,1319
FKBP1AP4,335
RPL5P34,890
ZIC1,116871
ADAMTS7P5,2499
ARFGAP3,61604
ZNF516,137560
LINC02781,8187
MTCYBP45,564
MYH2,28552
NMNAT1,42073
ZNF516-DT,2567
RUVBL1,89136
ARL2BPP1,810
RNA5SP461,103
SEPTIN12,10792
SALL4P2,6258
UTP14A,23640
BNIP3P3,568
MFFP1,1017
RNU6-721P,104
RNU6ATAC20P,126
MIR4672,80
GATA6,32939
ST6GALNAC4,9155
CTB-30L5.1,29032
PGAM1P11,977
TMEM185B,5921
MRM3P2,950
XIAPP3,794
MTND1P28,949
COL28A1,179670
YY1P2,947
DISP3,58396
RPS14P4,417
STON1-GTF2A1L,246592
RNU6-702P,106
RNU6-1032P,106
RBBP8,228227
HIF1AN,30926
CKM,16462
PIP5KL1,9904
SYF2P1,412
G2E3,60906
SLF2,52171
CYP2G2P,11995
BNIP3P34,571
COA1P1,396
BCORL1,76964
UBA2,42899
OTOA,97967
CYB5R3,105140
MMEL1,42348
PIP5K1P2,1942
MIR4656,74
MIR3683,81
RNU6-534P,105
RN7SKP228,262
NDST1,72393
SNORA63,80
RNU1-15P,143
MIR1183,88
RN7SL542P,293
SNORD65C,70
RNU6-1103P,106
MIR550A1,96
MIR550B1,96
RNU6-438P,102
MIR550A2,96
MIR550B2,96
RN7SL132P,295
SNORA20B,131
MIR1200,75
RNU6-565P,99
PBX2P1,1290
MIR3943,99
RNU7-35P,61
HMGN1P10,552
RNU6-575P,104
SNORA5A,133
SNORA5C,136
SNORA5B,131
DPM2,2755
SNORA9,132
SNORD15A,147
RN7SKP218,291
SNORD15B,145
RN7SL292P,265
RNU2-29P,188
RNU1-14P,151
SNORA22B,137
RNU6-1125P,106
RNU6-1052P,103
RNU6-1335P,106
RNU6-417P,106
SNORA22,133
SNORA15B-2,134
RNU6-912P,103
RNA5SP231,137
RNU6-973P,106
RNU6-313P,111
RNA5SP234,118
RNU6-849P,104
RNU6-10P,106
RN7SKP129,298
RNU4-16P,140
RNU6-956P,102
RN7SKP104,327
MIR5692A1,68
MIR5692C2,76
RNA5SP235,113
RNU6-532P,106
RNU6-364P,106
RN7SL478P,297
RNU7-188P,63
MIR591,94
IRS4,16617
GDPD5,91301
CEP70,100194
RN7SL252P,296
RNA5SP236,115
TCEAL3,22239
SNORA25B,127
RNU6-581P,104
RN7SKP277,282
RNA5SP241,113
RNU6-517P,109
MIR4653,82
RNA5SP237,112
RNU1-29P,125
RNA5SP240,127
MIR3654,55
RNU6-797P,108
RN7SKP223,61
MIR4468,63
RNU6-911P,103
SOWAHC,4626
RNU1-72P,152
EEIG1,40407
RNU1-58P,162
RNU4-74P,160
RNA5SP247,104
RNA5SP248,126
RN7SKP174,329
NCK2,149362
MPLKIP,8595
THUMPD3P1,2538
MIR608,99
SUGCT-AS1,8801
TWNK,7036
RNF130,160462
FAM199X,29449
AHCYP4,1314
MTND6P9,518
SDHCP3,505
ISCA1P6,389
PRXL2C,15740
MYH3,28783
MAP3K20-AS1,115590
ESX1,4895
PPP1R2P5,602
SNRPGP9,224
UBE2CP2,509
DRC1,54791
MIR4741,89
RN7SL745P,298
MIR8057,68
CIAPIN1P,930
CHST9,278827
UBE2CP1,553
RPL12P5,391
ZNF782,59354
PDZD7,24616
ATP6V1E1P2,357
UBA52P9,358
SCFD1,115403
RBM22P1,1551
PA2G4P3,1143
WBP11P1,1930
KLHL14,100350
GAPDHP57,584
ZNF827,181196
MRPS18BP2,758
PTMAP11,329
NUTM2G,11943
MGAT4A,112026
TMEM51,67946
DSCAS,149333
IL4,8692
LINC01538,78741
SLC25A52,1296
YRDCP2,641
PAPPA-AS2,2940
CYP2A13,7744
TRAPPC8,123939
CCN5,13665
PAPPA-AS1,2449
KAZALD1,6142
RPL10P3,467
SNORA70C,134
RN7SKP128,302
RN7SKP125,301
MIR4478,85
NDUFA8,15721
SCO1,25901
CTAG1A,1683
PPP1R3A,199143
MORN5,40180
APLN,9697
IFIT2,25577
SUN5,20660
XPNPEP2,30587
RER1,13667
BSPH1,24124
TARM1,11470
MIR8086,92
MPP7-DT,4358
ZNF101P1,2388
RPL13AP13,615
RPSAP10,877
VSTM1,23128
RN7SKP39,321
RNU4ATAC6P,125
TPRKBP1,480
RNU6-1067P,106
HSPA8P4,1919
BAMBI,5422
RPL36P13,315
RBM18,27218
ZNF420,122511
RNA5SP238,119
MIR3666,110
BLACE,10949
ADPRM,13964
EN2,6702
RASGEF1C,108416
RWDD4P2,562
RN7SL496P,289
RNU6-270P,104
PYDC1,1173
RPL5P28,692
SASH3,15252
UTF1,1341
SUGCT,725758
VENTX,4073
MRRF,66734
TMEM220,31008
SULT1A3,5082
MIR202,109
NPAS2,176690
ZNF471,22371
USP44,34916
ADAM8,14448
